epoch,train_loss,val_loss,val_accuracy
1,1.4137098084831239,0.712309981918335,0.8482
2,0.554270836429596,0.46738983755111696,0.879
3,0.42322296772003176,0.4002941527366638,0.8917
4,0.37387092911720277,0.3672828462600708,0.8972
5,0.3462045220375061,0.3461158079147339,0.9007
6,0.32684923665046695,0.33001651883125305,0.9057
7,0.3116847645187378,0.31772530064582827,0.9087
8,0.2992900598239899,0.30829709277153017,0.9112
9,0.2885611151599884,0.29674187035560606,0.9156
10,0.27854273522377015,0.28967769117355346,0.9173
11,0.2695540034866333,0.2820009897232056,0.9198
12,0.2609750896549225,0.274748197555542,0.9213
13,0.25301885982990263,0.2677455404281616,0.9243
14,0.24543722462654113,0.26045126571655275,0.9251
15,0.23846428316116333,0.25446289768218994,0.9282
16,0.23165641387939453,0.24860407371520996,0.9286
17,0.22540016839027405,0.24299629783630372,0.9314
18,0.2194224344062805,0.2379126648902893,0.9325
19,0.2136814409828186,0.23231814093589784,0.9349
20,0.20801939566612243,0.2277396538734436,0.9356
21,0.20309134322166442,0.22317068343162536,0.9365
22,0.19774731194972991,0.2192081745147705,0.9379
23,0.1930478284740448,0.21446183652877807,0.9384
24,0.1884776455593109,0.2101293429851532,0.9393
25,0.18414496401786803,0.207148641872406,0.9406
26,0.18009425297737122,0.20337535548210145,0.9415
27,0.1758946594452858,0.20002785968780518,0.942
28,0.17217262502670289,0.1960031367301941,0.9435
29,0.16842075625896455,0.19338208174705504,0.9432
30,0.16480298378944397,0.19003655142784118,0.9442
31,0.1613884527730942,0.18702838339805603,0.945
32,0.15805054639816285,0.1840972592830658,0.9465
33,0.15486356519699096,0.1816489480495453,0.9466
34,0.15181284158945083,0.17952839643955232,0.9475
35,0.1489619243144989,0.1760783250808716,0.9483
36,0.14592743145942688,0.17405585956573486,0.9487
37,0.14330426207065583,0.1716892834186554,0.9497
38,0.1407722528362274,0.1695480901956558,0.9503
39,0.13823840468406678,0.1675440172433853,0.9501
40,0.13580713043689727,0.16601593770980835,0.9513
41,0.1334649648141861,0.16360842084884644,0.9513
42,0.1312316266441345,0.16102707881927492,0.9518
43,0.12902521559715271,0.15908494596481323,0.9524
44,0.12685980623960494,0.15805622935295105,0.9521
45,0.12470850662708283,0.15583037729263305,0.9535
46,0.12280148413181305,0.1541836245059967,0.9534
47,0.12077559271335601,0.15264145517349242,0.9547
48,0.11892031862974167,0.15173165998458862,0.9552
49,0.11697200483798981,0.15034313411712646,0.9549
50,0.11534041927099228,0.14847554366588592,0.9556
