id,Layer,node_count,HR_total,EPR_total,WR_total,UR_total
0,1,784,.000000000000000,.000000000000000,-2.477941287312253,2.477941287312253
0,2,256,-4.955882574624484,9.911765149248968,-3.913759481692476,-1.042123092932010
0,3,10,-2.871636388760439,5.743272777520877,-1.435818194380218,-1.435818194380220
1,1,784,.000000000000000,.000000000000000,-2.477941287312258,2.477941287312258
1,2,256,-4.955882574624501,9.911765149249002,-3.902896775139565,-1.052985799484937
1,3,10,-2.849910975654616,5.699821951309231,-1.424955487827309,-1.424955487827307
2,1,784,.000000000000000,.000000000000000,-2.477941287312254,2.477941287312254
2,2,256,-4.955882574624479,9.911765149248957,-3.902853254913212,-1.053029319711267
2,3,10,-2.849823935201922,5.699647870403845,-1.424911967600959,-1.424911967600964
3,1,784,.000000000000000,.000000000000000,-2.477941287312257,2.477941287312257
3,2,256,-4.955882574624549,9.911765149249097,-3.902831225858144,-1.053051348766404
3,3,10,-2.849779877091781,5.699559754183562,-1.424889938545889,-1.424889938545892
4,1,784,.000000000000000,.000000000000000,-2.477941287312259,2.477941287312259
4,2,256,-4.955882574624520,9.911765149249041,-3.902898129748115,-1.052984444876403
4,3,10,-2.849913684871729,5.699827369743457,-1.424956842435861,-1.424956842435869
5,1,784,.000000000000000,.000000000000000,-2.477941287312256,2.477941287312256
5,2,256,-4.955882574624566,9.911765149249133,-3.902899697989368,-1.052982876635199
5,3,10,-2.849916821354225,5.699833642708450,-1.424958410677111,-1.424958410677114
6,1,784,.000000000000000,.000000000000000,-2.477941287312257,2.477941287312257
6,2,256,-4.955882574624529,9.911765149249058,-3.902897079899974,-1.052985494724553
6,3,10,-2.849911585175436,5.699823170350872,-1.424955792587717,-1.424955792587719
7,1,784,.000000000000000,.000000000000000,-2.477941287312257,2.477941287312257
7,2,256,-4.955882574624507,9.911765149249014,-3.902907737043963,-1.052974837580539
7,3,10,-2.849932899463411,5.699865798926822,-1.424966449731707,-1.424966449731704
8,1,784,.000000000000000,.000000000000000,-2.477941287312258,2.477941287312258
8,2,256,-4.955882574624503,9.911765149249007,-3.902825253912556,-1.053057320711945
8,3,10,-2.849767933200597,5.699535866401193,-1.424883966600301,-1.424883966600296
9,1,784,.000000000000000,.000000000000000,-2.477941287312258,2.477941287312258
9,2,256,-4.955882574624537,9.911765149249074,-3.902955643866795,-1.052926930757743
9,3,10,-2.850028713109075,5.700057426218151,-1.425014356554539,-1.425014356554536
10,1,784,.000000000000000,.000000000000000,-2.477941287312257,2.477941287312257
10,2,256,-4.955882574624520,9.911765149249041,-3.902824650166066,-1.053057924458456
10,3,10,-2.849766725707626,5.699533451415252,-1.424883362853811,-1.424883362853815
11,1,784,.000000000000000,.000000000000000,-2.477941287312257,2.477941287312257
11,2,256,-4.955882574624498,9.911765149248996,-3.902833542304117,-1.053049032320380
11,3,10,-2.849784509983723,5.699569019967446,-1.424892254991858,-1.424892254991864
12,1,784,.000000000000000,.000000000000000,-2.477941287312258,2.477941287312258
12,2,256,-4.955882574624497,9.911765149248994,-3.902813149644691,-1.053069424979804
12,3,10,-2.849743724664877,5.699487449329753,-1.424871862332437,-1.424871862332440
13,1,784,.000000000000000,.000000000000000,-2.477941287312257,2.477941287312257
13,2,256,-4.955882574624500,9.911765149249000,-3.902828313721634,-1.053054260902865
13,3,10,-2.849774052818753,5.699548105637505,-1.424887026409378,-1.424887026409374
14,1,784,.000000000000000,.000000000000000,-2.477941287312255,2.477941287312255
14,2,256,-4.955882574624518,9.911765149249035,-3.902839171416807,-1.053043403207713
14,3,10,-2.849795768209103,5.699591536418206,-1.424897884104551,-1.424897884104552
15,1,784,.000000000000000,.000000000000000,-2.477941287312256,2.477941287312256
15,2,256,-4.955882574624485,9.911765149248970,-3.902861930972665,-1.053020643651820
