Theoretical Energetics by Node and Layer
layer,node,heat_rate,entropy_rate,work_rate,internal_rate
1,1,.000000000000000,.000000000000000,-.9060553026741016E-04,.9060553026741016E-04
1,2,.000000000000000,.000000000000000,-.1078799051019270E-03,.1078799051019270E-03
1,3,.000000000000000,.000000000000000,-.9293553869607188E-04,.9293553869607188E-04
1,4,.000000000000000,.000000000000000,-.8906128209785584E-04,.8906128209785584E-04
1,5,.000000000000000,.000000000000000,-.1069190733638940E-03,.1069190733638940E-03
1,6,.000000000000000,.000000000000000,-.9883880050148940E-04,.9883880050148940E-04
1,7,.000000000000000,.000000000000000,-.9306687216321275E-04,.9306687216321275E-04
1,8,.000000000000000,.000000000000000,-.9344026811217963E-04,.9344026811217963E-04
1,9,.000000000000000,.000000000000000,-.1022562508423316E-03,.1022562508423316E-03
1,10,.000000000000000,.000000000000000,-.1018356343612423E-03,.1018356343612423E-03
1,11,.000000000000000,.000000000000000,-.9869885018679996E-04,.9869885018679996E-04
1,12,.000000000000000,.000000000000000,-.9492352913983241E-04,.9492352913983241E-04
1,13,.000000000000000,.000000000000000,-.1471235689977044E-03,.1471235689977044E-03
1,14,.000000000000000,.000000000000000,-.1571145631479546E-03,.1571145631479546E-03
1,15,.000000000000000,.000000000000000,-.1232914200381727E-03,.1232914200381727E-03
1,16,.000000000000000,.000000000000000,-.9225963556134404E-04,.9225963556134404E-04
1,17,.000000000000000,.000000000000000,-.8212737848165724E-04,.8212737848165724E-04
1,18,.000000000000000,.000000000000000,-.9597180581460670E-04,.9597180581460670E-04
1,19,.000000000000000,.000000000000000,-.1032490428225119E-03,.1032490428225119E-03
1,20,.000000000000000,.000000000000000,-.1016001444251989E-03,.1016001444251989E-03
1,21,.000000000000000,.000000000000000,-.9716328237757158E-04,.9716328237757158E-04
1,22,.000000000000000,.000000000000000,-.8864048495675866E-04,.8864048495675866E-04
1,23,.000000000000000,.000000000000000,-.9327278066400490E-04,.9327278066400490E-04
1,24,.000000000000000,.000000000000000,-.1022320993078881E-03,.1022320993078881E-03
1,25,.000000000000000,.000000000000000,-.9237556979004317E-04,.9237556979004317E-04
1,26,.000000000000000,.000000000000000,-.8521334689006315E-04,.8521334689006315E-04
1,27,.000000000000000,.000000000000000,-.9910676673650741E-04,.9910676673650741E-04
1,28,.000000000000000,.000000000000000,-.9955099307257538E-04,.9955099307257538E-04
1,29,.000000000000000,.000000000000000,-.9625469493639686E-04,.9625469493639686E-04
1,30,.000000000000000,.000000000000000,-.9359167767579491E-04,.9359167767579491E-04
1,31,.000000000000000,.000000000000000,-.8929271269796954E-04,.8929271269796954E-04
1,32,.000000000000000,.000000000000000,-.1020305061003141E-03,.1020305061003141E-03
