shuffle_id,max_real_part,total_entropy,total_heat,total_work,total_internal
1,-35.21269558111089,49.00510804320086,-2.450255402160043,-2.450255402159994,-.5071442397974746E-13
2,-33.05663980168174,49.04898030656548,-2.452449015328274,-2.452449015328046,-.2280447965880006E-12
3,-34.04052571470675,49.07412385672070,-2.453706192836035,-2.453706192835706,-.3290443004871912E-12
4,-36.14027561969579,49.03286120121131,-2.451643060060566,-2.451643060060447,-.1195595272091010E-12
5,-33.51346884263330,49.03611356840221,-2.451805678420111,-2.451805678420436,.3265142062974791E-12
6,-33.41088081547059,49.00323544841903,-2.450161772420952,-2.450161772420928,-.2374619598177752E-13
7,-34.91539213167562,49.02516878402191,-2.451258439201094,-2.451258439201206,.1112677658343664E-12
8,-32.12968294292659,49.01867212843904,-2.450933606421952,-2.450933606422003,.5085970707086052E-13
9,-36.69518841757235,49.01345222526442,-2.450672611263221,-2.450672611263218,-.4232291600514415E-14
10,-33.55608974081406,49.03728381332495,-2.451864190666246,-2.451864190666274,.2731994318272424E-13
11,-37.15709210268687,49.02439764113903,-2.451219882056952,-2.451219882056887,-.6369026400027122E-13
12,-30.80139766797947,49.02907628012728,-2.451453814006365,-2.451453814006491,.1280772363165816E-12
13,-35.07791869630091,49.04891253545347,-2.452445626772674,-2.452445626772573,-.1011756867522196E-12
14,-36.86208809567324,48.98343654288282,-2.449171827144142,-2.449171827143905,-.2357762422799947E-12
15,-34.39990217889863,48.99839100277562,-2.449919550138781,-2.449919550138884,.1020523726288913E-12
16,-35.36253939167364,49.03706392882044,-2.451853196441023,-2.451853196441050,.2880573383989837E-13
17,-35.64155329218192,48.97484568987642,-2.448742284493822,-2.448742284493970,.1496139366910509E-12
18,-36.01476867962629,48.98515713826656,-2.449257856913328,-2.449257856913503,.1745151332471773E-12
19,-31.80642929159512,49.05233237298886,-2.452616618649443,-2.452616618649534,.9021494488947734E-13
20,-32.61252901528496,49.02941766285109,-2.451470883142556,-2.451470883142587,.3271233110779814E-13
