shuffle_id,max_real_part,total_entropy,total_heat,total_work,total_internal
1,-45.28964862285648,83.17806977623701,-4.158903488811849,-4.158903488811884,.3449020583023987E-13
2,-46.11554217039884,83.27560106945620,-4.163780053472808,-4.163780053472658,-.1522267555065238E-12
3,-45.33635050521480,83.22977323007399,-4.161488661503700,-4.161488661503247,-.4537455480790875E-12
4,-45.27688308275538,83.22542531685599,-4.161271265842792,-4.161271265842607,-.1872784696418939E-12
5,-46.55186470918852,83.20455808576266,-4.160227904288130,-4.160227904288008,-.1236877354010568E-12
6,-47.63729959847842,83.17912635861532,-4.158956317930767,-4.158956317930514,-.2513878862020480E-12
7,-46.67072854291837,83.14758611801274,-4.157379305900638,-4.157379305900767,.1313018704179880E-12
8,-43.87211147621565,83.20116194909829,-4.160058097454916,-4.160058097454675,-.2389700850397025E-12
9,-47.42138078609969,83.21368139998954,-4.160684069999479,-4.160684069999496,.1519531028781884E-13
10,-42.72463600439369,83.17871579164034,-4.158935789582018,-4.158935789582054,.3531788576871531E-13
11,-44.11319199434365,83.23866457759006,-4.161933228879502,-4.161933228879374,-.1280256282931713E-12
12,-46.09731012406701,83.24640457168782,-4.162320228584390,-4.162320228584013,-.3774504580417171E-12
13,-44.83811493133544,83.16234483329310,-4.158117241664659,-4.158117241664619,-.3698853289629822E-13
14,-48.05537630353138,83.15457888397451,-4.157728944198724,-4.157728944198314,-.4105727259909320E-12
15,-46.80194476700854,83.14872586324367,-4.157436293162182,-4.157436293162401,.2167703950367583E-12
16,-48.49591246224009,83.18148749443192,-4.159074374721596,-4.159074374721635,.3928259627306030E-13
17,-46.82258747128071,83.17913258044486,-4.158956629022243,-4.158956629021856,-.3892140516131848E-12
18,-47.04233626715722,83.16456773908358,-4.158228386954183,-4.158228386954322,.1409049743203439E-12
19,-47.90422271612624,83.22954421318622,-4.161477210659310,-4.161477210659315,.4566009029205453E-14
20,-45.50583139256923,83.19872218419769,-4.159936109209885,-4.159936109209943,.5860199478457950E-13
21,-47.03519579177373,83.24718734532620,-4.162359367266310,-4.162359367266582,.2730717128113236E-12
22,-44.73097879992565,83.23673448825068,-4.161836724412532,-4.161836724412574,.4457469549717930E-13
23,-45.49209050793434,83.24652205685396,-4.162326102842700,-4.162326102843009,.3110647590204296E-12
24,-46.53438414362608,83.15896181826106,-4.157948090913056,-4.157948090912715,-.3443073734107904E-12
25,-45.69256509540719,83.24454753023528,-4.162227376511768,-4.162227376511820,.5305109650188822E-13
26,-48.31369554739649,83.22837035219138,-4.161418517609570,-4.161418517609239,-.3278747716037311E-12
27,-47.30649518055725,83.15359786068271,-4.157679893034132,-4.157679893034255,.1182125144300050E-12
28,-44.03472301833972,83.16391397608598,-4.158195698804298,-4.158195698804023,-.2754166252699752E-12
29,-43.90018986024734,83.23504044111029,-4.161752022055517,-4.161752022055434,-.8123536565651790E-13
30,-46.44290947955233,83.28423895023569,-4.164211947511784,-4.164211947511748,-.3482728428566562E-13
31,-44.87942210525216,83.20036957200871,-4.160018478600436,-4.160018478600485,.5277278180421119E-13
32,-48.82535306195496,83.12173575335675,-4.156086787667835,-4.156086787667247,-.5891960096898741E-12
33,-44.48964879244159,83.25495309954502,-4.162747654977254,-4.162747654977212,-.4325782353847840E-13
